obsnme,obsval
ucn1_00_000_000_010,0.0003335293484687879
ucn1_00_000_001_010,0.0002997529186064013
ucn1_00_000_002_010,2.289709317253574e-05
ucn1_00_000_003_010,2.3232528655299686e-05
ucn1_00_000_004_010,2.4620123434442417e-05
ucn1_00_000_005_010,3.5622644759460414e-05
ucn1_00_000_006_010,3.792134157280748e-05
ucn1_00_000_007_010,2.7793374762271827e-05
ucn1_00_000_008_010,2.7823917881187084e-05
ucn1_00_000_009_010,2.790559710677608e-05
ucn1_00_000_010_010,2.7929849855928208e-05
ucn1_00_000_011_010,2.868691174212829e-05
ucn1_00_000_012_010,2.9155329271657443e-05
ucn1_00_000_013_010,3.0108365586227568e-05
ucn1_00_000_014_010,0.00011022225097393322
ucn1_00_000_015_010,0.00011599725946028053
ucn1_00_000_016_010,3.957676073372251e-05
ucn1_00_000_017_010,3.328948687463312e-05
ucn1_00_000_018_010,2.715380596266358e-05
ucn1_00_000_019_010,1.8419828464307604e-05
ucn1_00_001_000_010,0.0004914772997440447
ucn1_00_001_001_010,0.00048350258084356977
ucn1_00_001_002_010,6.315610023633417e-05
ucn1_00_001_003_010,7.29661863097952e-05
ucn1_00_001_004_010,4.492546376156566e-05
ucn1_00_001_005_010,4.635641926679811e-06
ucn1_00_001_006_010,5.990973025795751e-06
ucn1_00_001_007_010,6.955501833798903e-06
ucn1_00_001_008_010,4.751352399967383e-06
ucn1_00_001_009_010,4.240368849746036e-06
ucn1_00_001_010_010,4.012117123385635e-06
ucn1_00_001_011_010,3.864187625083225e-06
ucn1_00_001_012_010,3.865806547387309e-06
ucn1_00_001_013_010,2.8905628244459283e-06
ucn1_00_001_014_010,2.731096236126656e-06
ucn1_00_001_015_010,3.5744813054816938e-06
ucn1_00_001_016_010,2.5914198281423733e-06
ucn1_00_001_017_010,2.141499136752494e-06
ucn1_00_001_018_010,1.8466508905011316e-06
ucn1_00_001_019_010,2.3538038848836454e-06
ucn1_00_001_020_010,1.286043298296225e-06
ucn1_00_002_000_010,0.0004997467129463563
ucn1_00_002_001_010,5.074873460654381e-06
ucn1_00_002_002_010,8.70299110994931e-06
ucn1_00_002_003_010,1.8093864823245153e-05
ucn1_00_002_004_010,1.2171254664644608e-05
ucn1_00_002_005_010,1.2082506480212144e-05
ucn1_00_002_006_010,2.319098579890154e-06
ucn1_00_002_007_010,1.9005331266908392e-06
ucn1_00_002_008_010,2.6660968433327296e-06
ucn1_00_002_009_010,1.9760461369610303e-06
ucn1_00_002_010_010,2.0720842110244386e-06
ucn1_00_002_011_010,2.0109619057925726e-06
ucn1_00_002_012_010,2.1152037946261772e-06
ucn1_00_002_013_010,2.110281535270637e-06
ucn1_00_002_014_010,1.758208718779272e-06
ucn1_00_002_015_010,2.9085543407782966e-06
ucn1_00_002_016_010,1.415058585036725e-06
ucn1_00_002_017_010,1.9569464560840128e-06
ucn1_00_002_018_010,1.4474728835493533e-06
ucn1_00_002_019_010,2.682784130812608e-06
ucn1_00_002_020_010,2.7513115795036487e-06
ucn1_00_002_021_010,9.494327842296178e-07
ucn1_00_003_000_010,1.5549437383288656e-06
ucn1_00_003_001_010,7.413581962025374e-06
ucn1_00_003_002_010,2.132448964230576e-06
ucn1_00_003_003_010,3.1139968207961937e-06
ucn1_00_003_004_010,5.9821907201269926e-06
ucn1_00_003_005_010,3.32789682109538e-06
ucn1_00_003_006_010,1.4404158435016677e-06
ucn1_00_003_007_010,5.488995702938e-06
ucn1_00_003_008_010,3.3553034775915124e-06
ucn1_00_003_009_010,3.0108005486953797e-06
ucn1_00_003_010_010,2.972398119055587e-06
ucn1_00_003_011_010,1.7583289770137418e-06
ucn1_00_003_012_010,3.457196142890649e-06
ucn1_00_003_013_010,3.4441869408425717e-06
ucn1_00_003_014_010,2.9365284646632887e-06
ucn1_00_003_015_010,4.35621703393023e-06
ucn1_00_003_016_010,1.3130754246289639e-06
ucn1_00_003_017_010,2.575299311619097e-06
ucn1_00_003_018_010,2.6229045611975364e-06
ucn1_00_003_019_010,2.4607048754912296e-06
ucn1_00_003_020_010,1.3803763727007438e-06
ucn1_00_003_021_010,3.148651137984526e-06
ucn1_00_003_022_010,7.296956838794366e-07
ucn1_00_004_000_010,0.0005012825432808501
ucn1_00_004_001_010,4.251648464093465e-06
ucn1_00_004_002_010,3.2567752289369318e-06
ucn1_00_004_003_010,1.8417142790471292e-06
ucn1_00_004_004_010,2.986756469796952e-06
ucn1_00_004_005_010,1.8678589846399847e-06
ucn1_00_004_006_010,1.988184582923902e-06
ucn1_00_004_007_010,2.5471500170076756e-06
ucn1_00_004_008_010,1.644116100430049e-06
ucn1_00_004_009_010,2.731858576486125e-06
ucn1_00_004_010_010,3.3510789051409505e-06
ucn1_00_004_011_010,2.0026602761157485e-06
ucn1_00_004_012_010,2.718230737479111e-06
ucn1_00_004_013_010,1.383167865208902e-06
ucn1_00_004_014_010,3.137202646762354e-06
ucn1_00_004_015_010,2.5755096635805163e-06
ucn1_00_004_016_010,2.2462136792201934e-06
ucn1_00_004_017_010,2.7367904142118116e-06
ucn1_00_004_018_010,2.9224126102382623e-06
ucn1_00_004_019_010,1.742826321953836e-06
ucn1_00_004_020_010,2.806801452337126e-06
ucn1_00_004_021_010,1.9187125238665614e-05
ucn1_00_004_022_010,3.5554202036978933e-06
ucn1_00_005_000_010,0.0005014468849645827
ucn1_00_005_001_010,1.70185470436383e-06
ucn1_00_005_002_010,1.9092402722667733e-06
ucn1_00_005_003_010,2.2468904624338147e-06
ucn1_00_005_004_010,2.651397170762345e-06
ucn1_00_005_005_010,1.8741470818267732e-06
ucn1_00_005_006_010,1.4345111046715523e-06
ucn1_00_005_007_010,1.3809148999909239e-06
ucn1_00_005_008_010,1.8353211527718585e-06
ucn1_00_005_009_010,1.8406041410604622e-06
ucn1_00_005_010_010,1.3839970770939528e-06
ucn1_00_005_011_010,7.315741267157162e-06
ucn1_00_005_012_010,3.7519794051393932e-06
ucn1_00_005_013_010,1.7053436087681124e-06
ucn1_00_005_014_010,1.952027144004519e-06
ucn1_00_005_015_010,2.916888077675492e-06
ucn1_00_005_016_010,1.0037530056986445e-06
ucn1_00_005_017_010,1.2483193748634882e-06
ucn1_00_005_018_010,2.673166893648601e-06
ucn1_00_005_019_010,2.8308793015238954e-06
ucn1_00_005_020_010,2.0258461219358944e-06
ucn1_00_005_021_010,6.014399048082342e-06
ucn1_00_005_022_010,2.5385478597156336e-06
