parnme,dairy,forestry,hort,other,snb,i,j,parnme
kg_000_000,0.0,0.0,0.0,0.0,0.0,0,0,kg_000_000
kg_000_001,0.0,0.0,0.0,0.0,0.0,0,1,kg_000_001
kg_000_002,0.0,0.0,0.0,0.0,0.0,0,2,kg_000_002
kg_000_003,0.0,0.0,0.0,0.0,0.0,0,3,kg_000_003
kg_000_004,0.0,0.0,0.0,0.0,0.0,0,4,kg_000_004
kg_000_005,0.0,0.0,0.0,0.0,0.0,0,5,kg_000_005
kg_000_006,0.0,0.0,0.0,0.0,0.0,0,6,kg_000_006
kg_000_007,0.0,0.0,0.0,0.0,0.0,0,7,kg_000_007
kg_000_008,0.0,0.0,0.0,0.0,0.0,0,8,kg_000_008
kg_000_009,0.0,0.0,0.0,0.0,0.0,0,9,kg_000_009
kg_000_010,0.0,0.0,0.0,0.0,0.0,0,10,kg_000_010
kg_000_011,0.0,0.0,0.0,0.0,0.0,0,11,kg_000_011
kg_000_012,0.0,0.0,0.0,0.0,0.0,0,12,kg_000_012
kg_000_013,0.0,0.0,0.0,0.0,0.0,0,13,kg_000_013
kg_000_014,0.0,0.0,0.0,0.0,0.0,0,14,kg_000_014
kg_000_015,0.0,0.0,0.0,0.0,0.0,0,15,kg_000_015
kg_000_016,0.0,0.0,0.0,0.0,0.0,0,16,kg_000_016
kg_000_017,0.0,0.0,0.0,0.0,0.0,0,17,kg_000_017
kg_000_018,0.0,0.0,0.0,0.0,0.0,0,18,kg_000_018
kg_000_019,0.0,0.0,0.0,0.0,0.0,0,19,kg_000_019
kg_000_020,0.0,0.0,0.0,0.0,0.0,0,20,kg_000_020
kg_000_021,0.0,0.0,0.0,0.0,0.0,0,21,kg_000_021
kg_000_022,0.0,0.0,0.0,0.0,0.0,0,22,kg_000_022
kg_000_023,0.0,0.0,0.0,0.0,0.0,0,23,kg_000_023
kg_000_024,0.0,0.0,0.0,0.0,0.0,0,24,kg_000_024
kg_000_025,0.0,0.0,0.0,0.0,0.0,0,25,kg_000_025
kg_000_026,0.0,0.0,0.0,0.0,0.0,0,26,kg_000_026
kg_000_027,0.0,0.0,0.0,0.0,0.0,0,27,kg_000_027
kg_000_028,0.0,0.0,0.0,0.0,0.0,0,28,kg_000_028
kg_000_029,0.0,0.0,0.0,0.0,0.0,0,29,kg_000_029
kg_000_030,0.0,0.0,0.0,0.0,0.0,0,30,kg_000_030
kg_000_031,0.0,0.0,0.0,0.0,0.0,0,31,kg_000_031
kg_000_032,0.0,0.0,0.0,0.0,0.0,0,32,kg_000_032
kg_000_033,0.0,0.0,0.0,0.0,0.0,0,33,kg_000_033
kg_000_034,0.0,0.0,0.0,0.0,0.0,0,34,kg_000_034
kg_000_035,0.0,0.0,0.0,0.0,0.0,0,35,kg_000_035
kg_000_036,0.0,0.0,0.0,0.0,0.0,0,36,kg_000_036
kg_000_037,0.0,0.0,0.0,0.0,0.0,0,37,kg_000_037
kg_000_038,0.0,0.0,0.0,0.0,0.0,0,38,kg_000_038
kg_000_039,0.0,0.0,0.0,0.0,0.0,0,39,kg_000_039
kg_000_040,0.0,0.0,0.0,0.0,0.0,0,40,kg_000_040
kg_000_041,0.0,0.0,0.0,0.0,0.0,0,41,kg_000_041
kg_000_042,0.0,0.0,0.0,0.0,0.0,0,42,kg_000_042
kg_000_043,0.0,0.0,0.0,0.0,0.0,0,43,kg_000_043
kg_000_044,0.0,0.0,0.0,0.0,0.0,0,44,kg_000_044
kg_000_045,0.0,0.0,0.0,0.0,0.0,0,45,kg_000_045
kg_000_046,0.0,0.0,0.0,0.0,0.0,0,46,kg_000_046
kg_000_047,0.0,0.0,0.0,0.0,0.0,0,47,kg_000_047
kg_000_048,0.0,0.0,0.0,0.0,0.0,0,48,kg_000_048
kg_000_049,0.0,0.0,0.0,0.0,0.0,0,49,kg_000_049
kg_000_050,0.0,0.0,0.0,0.0,0.0,0,50,kg_000_050
kg_000_051,0.0,0.0,0.0,0.0,0.0,0,51,kg_000_051
kg_000_052,0.0,0.0,0.0,0.0,0.0,0,52,kg_000_052
kg_000_053,0.0,0.0,0.0,0.0,0.0,0,53,kg_000_053
kg_000_054,0.0,0.0,0.0,0.0,0.0,0,54,kg_000_054
kg_000_055,0.0,0.0,0.0,0.0,0.0,0,55,kg_000_055
kg_000_056,0.0,0.0,0.0,0.0,0.0,0,56,kg_000_056
kg_000_057,0.0,0.0,0.0,0.0,0.0,0,57,kg_000_057
kg_000_058,0.0,0.0,0.0,0.0,0.0,0,58,kg_000_058
kg_000_059,0.0,0.0,0.0,0.0,0.0,0,59,kg_000_059
kg_000_060,0.0,0.0,0.0,0.0,0.0,0,60,kg_000_060
kg_000_061,0.0,0.0,0.0,0.0,0.0,0,61,kg_000_061
kg_000_062,0.0,0.0,0.0,0.0,0.0,0,62,kg_000_062
kg_000_063,0.0,0.0,0.0,0.0,0.0,0,63,kg_000_063
kg_000_064,0.0,0.0,0.0,0.0,0.0,0,64,kg_000_064
kg_000_065,0.0,0.0,0.0,0.0,0.0,0,65,kg_000_065
kg_000_066,0.0,0.0,0.0,0.0,0.0,0,66,kg_000_066
kg_000_067,0.0,0.0,0.0,0.0,0.0,0,67,kg_000_067
kg_000_068,0.0,0.0,0.0,0.0,0.0,0,68,kg_000_068
kg_000_069,0.0,0.0,0.0,0.0,0.0,0,69,kg_000_069
kg_001_000,0.0,0.0,0.0,0.0,0.0,1,0,kg_001_000
kg_001_001,0.0,0.0,0.0,0.0,0.0,1,1,kg_001_001
kg_001_002,0.0,0.0,0.0,0.0,0.0,1,2,kg_001_002
kg_001_003,0.0,0.0,0.0,0.0,0.0,1,3,kg_001_003
kg_001_004,0.0,0.0,0.0,0.0,0.0,1,4,kg_001_004
kg_001_005,0.0,0.0,0.0,0.0,0.0,1,5,kg_001_005
kg_001_006,0.0,0.0,0.0,0.0,0.0,1,6,kg_001_006
kg_001_007,0.0,0.0,0.0,0.0,0.0,1,7,kg_001_007
kg_001_008,0.0,0.0,0.0,0.0,0.0,1,8,kg_001_008
kg_001_009,0.0,0.0,0.0,0.0,0.0,1,9,kg_001_009
kg_001_010,0.0,0.0,0.0,0.0,0.0,1,10,kg_001_010
kg_001_011,0.0,0.0,0.0,0.0,0.0,1,11,kg_001_011
kg_001_012,0.0,0.0,0.0,0.0,0.0,1,12,kg_001_012
