obsnme,obsnme,obsval,response,response_org,probit,offset
ucn1_00_000_000_010,ucn1_00_000_000_010,0.0003335194519791609,-3.557621980696865e-08,-3.557621980696865e-08,0.0,0.0
ucn1_00_000_001_010,ucn1_00_000_001_010,0.00029975323901167817,-7.909299600406278e-08,-7.909299600406278e-08,0.0,0.0
ucn1_00_000_002_010,ucn1_00_000_002_010,2.289607617947068e-05,-9.412483304904755e-10,-9.412483304904755e-10,0.0,0.0
ucn1_00_000_003_010,ucn1_00_000_003_010,2.323173789881979e-05,-4.659488928963639e-10,-4.659488928963639e-10,0.0,0.0
ucn1_00_000_004_010,ucn1_00_000_004_010,2.4620786583610378e-05,2.1157905311657335e-09,2.1157905311657335e-09,0.0,0.0
ucn1_00_000_005_010,ucn1_00_000_005_010,3.562593818177221e-05,-5.922107699984282e-10,-5.922107699984282e-10,0.0,0.0
ucn1_00_000_006_010,ucn1_00_000_006_010,3.7920320918726065e-05,-1.0406738231673171e-09,-1.0406738231673171e-09,0.0,0.0
ucn1_00_000_007_010,ucn1_00_000_007_010,2.780116663683645e-05,4.5052671056140504e-09,4.5052671056140504e-09,0.0,0.0
ucn1_00_000_008_010,ucn1_00_000_008_010,2.7822367788989038e-05,9.763189638404395e-09,9.763189638404395e-09,0.0,0.0
ucn1_00_000_009_010,ucn1_00_000_009_010,2.790224289181352e-05,1.7513934978455836e-08,1.7513934978455836e-08,0.0,0.0
ucn1_00_000_010_010,ucn1_00_000_010_010,2.7926164094003844e-05,2.3591859423288726e-08,2.3591859423288726e-08,0.0,0.0
ucn1_00_000_011_010,ucn1_00_000_011_010,2.8690359777599346e-05,-4.9620158762739505e-09,-4.9620158762739505e-09,0.0,0.0
ucn1_00_000_012_010,ucn1_00_000_012_010,2.914973928151689e-05,-7.658150972499952e-09,-7.658150972499952e-09,0.0,0.0
ucn1_00_000_013_010,ucn1_00_000_013_010,3.0104396773265663e-05,8.21004084796361e-09,8.21004084796361e-09,0.0,0.0
ucn1_00_000_014_010,ucn1_00_000_014_010,0.00011021374564731802,-1.9173167676286298e-08,-1.9173167676286298e-08,0.0,0.0
ucn1_00_000_015_010,ucn1_00_000_015_010,0.00011600911473215521,2.402422200120705e-09,2.402422200120705e-09,0.0,0.0
ucn1_00_000_016_010,ucn1_00_000_016_010,3.957979241075029e-05,1.4739256513911999e-09,1.4739256513911999e-09,0.0,0.0
ucn1_00_000_017_010,ucn1_00_000_017_010,3.328695384824109e-05,1.8315440507614463e-09,1.8315440507614463e-09,0.0,0.0
ucn1_00_000_018_010,ucn1_00_000_018_010,2.715299423459406e-05,7.619010831551729e-10,7.619010831551729e-10,0.0,0.0
ucn1_00_000_019_010,ucn1_00_000_019_010,1.8421453825484877e-05,2.3287937535757514e-09,2.3287937535757514e-09,0.0,0.0
ucn1_00_001_000_010,ucn1_00_001_000_010,0.0004915787227489363,3.045741421867238e-08,3.045741421867238e-08,0.0,0.0
ucn1_00_001_001_010,ucn1_00_001_001_010,0.00048350115228180745,9.566127033557603e-08,9.566127033557603e-08,0.0,0.0
ucn1_00_001_002_010,ucn1_00_001_002_010,6.321138161801452e-05,2.140509292374862e-08,2.140509292374862e-08,0.0,0.0
ucn1_00_001_003_010,ucn1_00_001_003_010,7.29583504029268e-05,-1.1049318174741252e-08,-1.1049318174741252e-08,0.0,0.0
ucn1_00_001_004_010,ucn1_00_001_004_010,4.488856893118849e-05,-3.211823875467648e-08,-3.211823875467648e-08,0.0,0.0
ucn1_00_001_005_010,ucn1_00_001_005_010,4.603797947374246e-06,6.785088856350558e-08,6.785088856350558e-08,0.0,0.0
ucn1_00_001_006_010,ucn1_00_001_006_010,6.060299573571398e-06,-5.810485460452242e-08,-5.810485460452242e-08,0.0,0.0
ucn1_00_001_007_010,ucn1_00_001_007_010,6.954419401548848e-06,2.2522230421733518e-08,2.2522230421733518e-08,0.0,0.0
ucn1_00_001_008_010,ucn1_00_001_008_010,4.7894672486054425e-06,3.833213686460725e-08,3.833213686460725e-08,0.0,0.0
ucn1_00_001_009_010,ucn1_00_001_009_010,4.27437541772241e-06,-8.126908926136376e-08,-8.126908926136376e-08,0.0,0.0
ucn1_00_001_010_010,ucn1_00_001_010_010,3.970413353959192e-06,-1.008701577854011e-08,-1.008701577854011e-08,0.0,0.0
ucn1_00_001_011_010,ucn1_00_001_011_010,3.8092796718049567e-06,1.0572804858141233e-07,1.0572804858141233e-07,0.0,0.0
ucn1_00_001_012_010,ucn1_00_001_012_010,3.780535838199759e-06,1.6499980415162547e-08,1.6499980415162547e-08,0.0,0.0
ucn1_00_001_013_010,ucn1_00_001_013_010,2.9104831966857447e-06,2.6045303418450393e-08,2.6045303418450393e-08,0.0,0.0
ucn1_00_001_014_010,ucn1_00_001_014_010,2.665548827996586e-06,4.579862249659013e-08,4.579862249659013e-08,0.0,0.0
ucn1_00_001_015_010,ucn1_00_001_015_010,3.2816145116961136e-06,3.689002371028026e-08,3.689002371028026e-08,0.0,0.0
ucn1_00_001_016_010,ucn1_00_001_016_010,3.0190672042145688e-06,-1.443536390058833e-07,-1.443536390058833e-07,0.0,0.0
ucn1_00_001_017_010,ucn1_00_001_017_010,2.0464697718279962e-06,1.2287362995746118e-07,1.2287362995746118e-07,0.0,0.0
ucn1_00_001_018_010,ucn1_00_001_018_010,1.288579282159175e-06,-2.7900623157314144e-08,-2.7900623157314144e-08,0.0,0.0
ucn1_00_001_019_010,ucn1_00_001_019_010,2.209927761355581e-06,-3.144785654839179e-08,-3.144785654839179e-08,0.0,0.0
ucn1_00_001_020_010,ucn1_00_001_020_010,1.5975268290749848e-06,-7.738043927224076e-09,-7.738043927224076e-09,0.0,0.0
ucn1_00_002_000_010,ucn1_00_002_000_010,0.0004998003356151053,1.4216856898898574e-08,1.4216856898898574e-08,0.0,0.0
ucn1_00_002_001_010,ucn1_00_002_001_010,5.057269935799911e-06,-1.3739594399309583e-08,-1.3739594399309583e-08,0.0,0.0
ucn1_00_002_002_010,ucn1_00_002_002_010,8.869301603401143e-06,8.05816661627324e-08,8.05816661627324e-08,0.0,0.0
ucn1_00_002_003_010,ucn1_00_002_003_010,1.817212457967073e-05,1.2450623063527016e-07,1.2450623063527016e-07,0.0,0.0
ucn1_00_002_004_010,ucn1_00_002_004_010,1.2402866687857713e-05,-9.479228028371215e-08,-9.479228028371215e-08,0.0,0.0
ucn1_00_002_005_010,ucn1_00_002_005_010,1.2226224130195936e-05,1.478896753716977e-07,1.478896753716977e-07,0.0,0.0
ucn1_00_002_006_010,ucn1_00_002_006_010,2.8246608351750967e-06,-1.50994451266064e-07,-1.50994451266064e-07,0.0,0.0
ucn1_00_002_007_010,ucn1_00_002_007_010,1.79282246486912e-06,5.370376351776455e-09,5.370376351776455e-09,0.0,0.0
ucn1_00_002_008_010,ucn1_00_002_008_010,2.6786715321231653e-06,-9.285312620510202e-09,-9.285312620510202e-09,0.0,0.0
ucn1_00_002_009_010,ucn1_00_002_009_010,1.992728568358407e-06,-4.986620914291552e-10,-4.986620914291552e-10,0.0,0.0
ucn1_00_002_010_010,ucn1_00_002_010_010,2.3428576967959386e-06,6.092439515787988e-09,6.092439515787988e-09,0.0,0.0
ucn1_00_002_011_010,ucn1_00_002_011_010,2.2579884814073587e-06,1.7616901953529082e-07,1.7616901953529082e-07,0.0,0.0
ucn1_00_002_012_010,ucn1_00_002_012_010,2.088912770503537e-06,-6.624379306978126e-08,-6.624379306978126e-08,0.0,0.0
ucn1_00_002_013_010,ucn1_00_002_013_010,2.089807171770017e-06,-1.2342374587201556e-07,-1.2342374587201556e-07,0.0,0.0
ucn1_00_002_014_010,ucn1_00_002_014_010,2.1238207183185296e-06,-9.803757690152311e-08,-9.803757690152311e-08,0.0,0.0
ucn1_00_002_015_010,ucn1_00_002_015_010,1.9692654084848665e-06,4.003404538553258e-08,4.003404538553258e-08,0.0,0.0
ucn1_00_002_016_010,ucn1_00_002_016_010,1.775270076106259e-06,3.499553695284781e-08,3.499553695284781e-08,0.0,0.0
ucn1_00_002_017_010,ucn1_00_002_017_010,2.216383882558829e-06,9.866971385600071e-08,9.866971385600071e-08,0.0,0.0
ucn1_00_002_018_010,ucn1_00_002_018_010,2.632185011315869e-06,7.982637542109838e-08,7.982637542109838e-08,0.0,0.0
ucn1_00_002_019_010,ucn1_00_002_019_010,2.8023886230516563e-06,-6.445827031718518e-08,-6.445827031718518e-08,0.0,0.0
ucn1_00_002_020_010,ucn1_00_002_020_010,3.21402216401878e-06,-4.658794387963853e-08,-4.658794387963853e-08,0.0,0.0
ucn1_00_002_021_010,ucn1_00_002_021_010,1.078833599010297e-06,-3.8894545589334154e-08,-3.8894545589334154e-08,0.0,0.0
ucn1_00_003_000_010,ucn1_00_003_000_010,2.1531568944334387e-06,1.4419409134652286e-07,1.4419409134652286e-07,0.0,0.0
ucn1_00_003_001_010,ucn1_00_003_001_010,7.370245859591885e-06,1.7021672487131354e-08,1.7021672487131354e-08,0.0,0.0
ucn1_00_003_002_010,ucn1_00_003_002_010,2.501242289605661e-06,1.4300600368934986e-07,1.4300600368934986e-07,0.0,0.0
ucn1_00_003_003_010,ucn1_00_003_003_010,3.242036943416605e-06,-1.0567191462978304e-07,-1.0567191462978304e-07,0.0,0.0
ucn1_00_003_004_010,ucn1_00_003_004_010,5.773150727523017e-06,8.062565339756472e-08,8.062565339756472e-08,0.0,0.0
ucn1_00_003_005_010,ucn1_00_003_005_010,3.3158401505064912e-06,8.384533101660883e-09,8.384533101660883e-09,0.0,0.0
ucn1_00_003_006_010,ucn1_00_003_006_010,1.3041104489094723e-06,-2.862650489834704e-08,-2.862650489834704e-08,0.0,0.0
ucn1_00_003_007_010,ucn1_00_003_007_010,4.984258049307222e-06,8.637595324307043e-08,8.637595324307043e-08,0.0,0.0
ucn1_00_003_008_010,ucn1_00_003_008_010,2.800280350757156e-06,-2.0225690164399744e-08,-2.0225690164399744e-08,0.0,0.0
ucn1_00_003_009_010,ucn1_00_003_009_010,3.589536069974089e-06,6.966145592197893e-08,6.966145592197893e-08,0.0,0.0
ucn1_00_003_010_010,ucn1_00_003_010_010,5.079968465705124e-06,-1.36795822754557e-07,-1.36795822754557e-07,0.0,0.0
ucn1_00_003_011_010,ucn1_00_003_011_010,2.0520901570396204e-06,3.2556986922853395e-08,3.2556986922853395e-08,0.0,0.0
ucn1_00_003_012_010,ucn1_00_003_012_010,2.6440597625379283e-06,9.507721291380315e-08,9.507721291380315e-08,0.0,0.0
ucn1_00_003_013_010,ucn1_00_003_013_010,2.7749635308471254e-06,7.065353009253755e-08,7.065353009253755e-08,0.0,0.0
ucn1_00_003_014_010,ucn1_00_003_014_010,2.9266977286410537e-06,-6.184746572908645e-08,-6.184746572908645e-08,0.0,0.0
ucn1_00_003_015_010,ucn1_00_003_015_010,4.560159276173275e-06,4.416913417570877e-08,4.416913417570877e-08,0.0,0.0
